,Perovskite,bandgap(eV),glass,ETL,ETL-2,"ETL 
thickness(um)",HTL,"HTL 
thickness(um)",meta,"Perovskite 
deposition
 procedure","Perovskite
 deposition
 method","Anti-solvent 
treatment","Precursor
 solution","Annealing
 temperature (°C) ","Annealing
 time (minutes) ",Jsc,Voc,FF,PCE,Article
15,Cs0.05MA0.1615FA0.7885PbI0.9Br0.1,,ITO,PCBM,BCP,,MeO-2PACz,,Ag,two-step,spin,BuOH,DMSO/DMF,100.0,30.0,23.05,1.372,0.7531,19.89,"O. Telschow, N. Scheffczyk, A. Hinderhofer, L. Merten, E. Kneschaurek, F. Bertram, Q. Zhou, M. Löffler, F. Schreiber, F. Paulus, Y. Vaynzof, Elucidating Structure Formation in Highly Oriented Triple Cation Perovskite Films. Adv. Sci. 2023, 10, 2206325."
16,Cs0.05MA0.1615FA0.7885PbI0.9Br0.1,,ITO,PCBM,BCP,,MeO-2PACz,,Ag,two-step,spin,IBA,DMSO/DMF,100.0,30.0,22.03,1.319,0.7471,18.81,"O. Telschow, N. Scheffczyk, A. Hinderhofer, L. Merten, E. Kneschaurek, F. Bertram, Q. Zhou, M. Löffler, F. Schreiber, F. Paulus, Y. Vaynzof, Elucidating Structure Formation in Highly Oriented Triple Cation Perovskite Films. Adv. Sci. 2023, 10, 2206325."
17,Cs0.05FA0.81MA0.14PbBr0.14I2.86,,FTO,C60,BCP,,NiOx,,Ag,two-step,spin,toluene ,DMSO/DMF,120.0,10.0,23.1,0.93,0.769,16.2,"Tien, CH., Lai, HY. & Chen, LC. Methylammonium halide salt interfacial modification of perovskite quantum dots/triple-cation perovskites enable efficient solar cells. Sci Rep 13, 5387 (2023)."
18,Cs0.05FA0.79MA0.15PbI2.45Br0.55,1.6,ITO,SnO2,,20,Spiro-OMeTAD,200.0,Au,,,,,,,22.297,1.0755,0.7475,17.92,"Alanazi, T.I.; Eid, O.I. Simulation of Triple-Cation Perovskite Solar Cells: Key Design Factors for Efficiency Promotion. Energies 2023, 16, 2717"
19,FA0.8Cs0.16MA0.04PbI1.5Br1.5,,FTO,PCBM,BCP,,PTAA,,Ag,one-step,spin,CB,DMSO/DMF,100.0,15.0,17.64,1.22,0.73,15.7,"CAO Y, LIU H, GAO F, et al. Interface optimization and growth control for high efficiency wide bandgap perovskite solar cells [J]. Surfaces and Interfaces, 2023, 37: 102680."
20,CsMAFAPbIBr,,FTO,ZnO,,,Spiro-OMeTAD,,Au,one-step," sequential
 deposition",CB,DMF:DMSO,150.0,15.0,22.16,1.054,0.7978,18.63,"AHMED D S, MOHAMMED M K A. Novel mixed solution of ethanol/MACl for improving the crystallinity of air-processed triple cation perovskite solar cells [J]. Solar Energy, 2020, 207: 1240-6."
21,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,FTO,TiO2,,,Spiro-OMeTAD,,Ag,two-step,spin,CB ,DMF/DMSO,100.0,5.0,23.78,1.145,0.7789,21.15,"MALOUANGOU M D, ZHANG Y, YANG Y, et al. Enhancing the efficiency and stability of 2D-3D perovskite solar cells with embedded interface passivation with diammonium cation spacer [J]. Solar Energy Materials and Solar Cells, 2023, 251: 112135."
22,Cs0.05FA0.79MA0.16PbI2.7Br0.3,,ITO,GF:PCBM,BCP,,Meo2PACz SAM,,Ag,,,,,,,22.4,1.098,0.85,20.8,"ZANETTA A, BULFARO I, FAINI F, et al. Enhancing charge extraction in inverted perovskite solar cells contacts via ultrathin graphene:fullerene composite interlayers [J]. Journal of Materials Chemistry A, 2023, 11(24): 12866-75."
23,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,FTO,TiO2,,,"spiro-OMeTAD:tBP :
 LiTFSI : FK209",,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,22.3,1.14,0.705,18.3,"LIU M, DAHLSTRöM S, AHLäNG C, et al. Beyond hydrophobicity: how F4-TCNQ doping of the hole transport material improves stability of mesoporous triple-cation perovskite solar cells [J]. Journal of Materials Chemistry A, 2022, 10(21): 11721-31."
24,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,FTO,TiO2,,,spiro-OMeTAD:tBP : LiTFSI,,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,21.9,1.09,0.681,16.5,"LIU M, DAHLSTRöM S, AHLäNG C, et al. Beyond hydrophobicity: how F4-TCNQ doping of the hole transport material improves stability of mesoporous triple-cation perovskite solar cells [J]. Journal of Materials Chemistry A, 2022, 10(21): 11721-31."
25,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,FTO,TiO2,,,spiro-OMeTAD:F4-TCNQ,,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,19.5,1.05,0.634,13.3,"LIU M, DAHLSTRöM S, AHLäNG C, et al. Beyond hydrophobicity: how F4-TCNQ doping of the hole transport material improves stability of mesoporous triple-cation perovskite solar cells [J]. Journal of Materials Chemistry A, 2022, 10(21): 11721-31."
26,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,FTO,TiO2,,,spiro-OMeTAD:Dopant-free,,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,18.9,0.79,0.434,6.2,"LIU M, DAHLSTRöM S, AHLäNG C, et al. Beyond hydrophobicity: how F4-TCNQ doping of the hole transport material improves stability of mesoporous triple-cation perovskite solar cells [J]. Journal of Materials Chemistry A, 2022, 10(21): 11721-31."
27,Cs0.05FA0.81MA0.14PbI2.55Br0.45,,ITO,SnO2,,,spiro-OMeTAD,,,,,,DMF/DMSO,,,22.5,1.11,0.78,19.4,"Bishop, J.E., Read, C.D., Smith, J.A. et al. Fully Spray-Coated Triple-Cation Perovskite Solar Cells. Sci Rep 10, 6610 (2020). https://doi.org/10.1038/s41598-020-63674-5"
28,Cs0.05FA0.8MA0.15PbI2.7Br0.3,1.59,ITO,NiOx,,,BCP,,Ag,two-step,spin,CB,DMF/DMSO/GBL,115.0,20.0,23.12,1.16,0.8237,22.09,"Yang G, Zhang H, Li, S, et al. Enhanced efficiency and stability of triple-cation perovskite solar cells with CsPbIxBr3 − x QDs “surface patches”. SmartMat. 2022; 3: 513-521."
29,Cs0.175FA0.750MA0.075PbI2.64Br0.36,1.57,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,two-step,spin,CB ,DMF/DMSO,100.0,20.0,21.88,1.124,0.75,18.45,"MALI S S, PATIL J V, PARK D W, et al. Intrinsic and extrinsic stability of triple-cation perovskite solar cells through synergistic influence of organic additive [J]. Cell Reports Physical Science, 2022, 3(6): 100906."
30,Cs0.06FA0.79MA0.15PbI2.55Br0.45,,FTO,c-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.95,1.121,0.78,20.0,"TAILOR N K, SENANAYAK S P, ABDI-JALEBI M, et al. Low-frequency carrier kinetics in triple cation perovskite solar cells probed by impedance and modulus spectroscopy [J]. Electrochimica Acta, 2021, 386: 138430."
31,Cs0.05MA0.1615FA0.7885PbI3,,ITO,SnO2,,,spiro-OMeTAD,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,21.67,0.82,0.6826,12.08,"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24."
32,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,20.62,1.05,0.7605,16.51,"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24."
33,Cs0.05MA0.1615FA0.7885PbI1.95Br1.05,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,17.17,1.09,0.7583,14.24,"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24."
34,Cs0.05MA0.1615FA0.7885PbI1.5Br1.5,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,15.05,1.12,0.6427,10.81,"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24."
35,Cs0.05MA0.1615FA0.7885PbI0.9Br2.1,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,10.52,1.13,0.576,6.88,"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24."
36,Cs0.05MA0.1615FA0.7885PbBr3,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,6.01,1.31,0.5524,4.36,"XU J, PODAPANGI S K, REDDY S H, et al. Key Parameters and Thresholds Values for Obtaining High Performance Perovskite Solar Cells Indoors from Full Br Compositional and Bandgap Engineering [J]. ACS Applied Energy Materials, 2023, 6(20): 10215-24."
37,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,,FTO,c-TiO2,,,spiro-MeOTAD,,Au,two-step,R2R,CB,DMF/DMSO,100.0,60.0,21.6,1.112,0.733,17.6,"MUTLU A, YEŞIL T, KıYMAZ D, et al. Simultaneous Optimization of Charge Transport Properties in a Triple-Cation Perovskite Layer and Triple-Cation Perovskite/Spiro-OMeTAD Interface by Dual Passivation [J]. ACS Omega, 2022, 7(21): 17907-20."
38,Cs0.07FA0.79MA0.14PbI2.49Br0.51,,ITO,PEDOT:PSS,,,PCBM/PEIE,,Au,R2R,,,,,,21.7,0.93,0.49,10.1,"M. Othman, F. Zheng, A. Seeber, A. S. R. Chesman, A. D. Scully, K. P. Ghiggino, M. Gao, J. Etheridge, D. Angmo, Millimeter-Sized Clusters of Triple Cation Perovskite Enables Highly Efficient and Reproducible Roll-to-Roll Fabricated Inverted Perovskite Solar Cells. Adv. Funct. Mater. 2022, 32, 2110700."
39,FA0.4MA0.6PbI3,,TCO,ZnO,,,PEDOT:PSS,,Ag,two-step,R2R,CB,,,,19.6,1.04,0.538,11.0,"HEO Y-J, KIM J-E, WEERASINGHE H, et al. Printing-friendly sequential deposition via intra-additive approach for roll-to-roll process of perovskite solar cells [J]. Nano Energy, 2017, 41: 443-51."
40,FA0.4MA0.6PbI3,,TCO,ZnO,,,P3HT,,Ag,two-step,R2R,CB,,,,20.6,1.05,0.536,11.6,"HEO Y-J, KIM J-E, WEERASINGHE H, et al. Printing-friendly sequential deposition via intra-additive approach for roll-to-roll process of perovskite solar cells [J]. Nano Energy, 2017, 41: 443-51."
41,MAPbI3,,ITO,SnO2,,20,spiro-MeOTAD,220.0,Ag,one-step,spin,CB,DMF/DMSO,100.0,10.0,21,1.05,0.723,16.1,"Y. Y. Kim, T.-Y. Yang, R. Suhonen, M. Välimäki, T. Maaninen, A. Kemppainen, N. J. Jeon, J. Seo, Adv. Sci. 2019, 6, 1802094. https://doi.org/10.1002/advs.201802094"
42,MAPbI3,,ITO,SnO2,,20,spiro-MeOTAD,220.0,Ag,two-step,spin,CB,DMF/DMSO,100.0,10.0,20.1,1.05,0.688,14.6,"Y. Y. Kim, T.-Y. Yang, R. Suhonen, M. Välimäki, T. Maaninen, A. Kemppainen, N. J. Jeon, J. Seo, Adv. Sci. 2019, 6, 1802094. https://doi.org/10.1002/advs.201802094"
43,MAPbI3,,ITO,SnO2,,20,spiro-MeOTAD,220.0,Ag,two-step,R2R,CB,DMF/DMSO,100.0,10.0,15.5,0.83,0.607,7.8,"Y. Y. Kim, T.-Y. Yang, R. Suhonen, M. Välimäki, T. Maaninen, A. Kemppainen, N. J. Jeon, J. Seo, Adv. Sci. 2019, 6, 1802094. https://doi.org/10.1002/advs.201802094"
44,Cs0.15FA0.85PbI2.55Br0.45,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,R2R,CB,DMSO/2BE,100.0,30.0,15.2,1.029,0.715,15.2,"Y. Galagan, F. Di Giacomo, H. Gorter, G. Kirchner, I. de Vries, R. Andriessen, P. Groen, Adv. Energy Mater. 2018, 8, 1801935. "
45,FA0.95Pb0.95I2.85MA0.05Pb0.05Br0.15,,ITO,SnO2,,,P3HT,,Au,two-step,R2R,tBuOH/EA,DMF/DMSO,120.0,30.0,20.9,0.96,0.681,13.8,"Kim, Y.Y., Yang, TY., Suhonen, R. et al. Roll-to-roll gravure-printed flexible perovskite solar cells using eco-friendly antisolvent bathing with wide processing window. Nat Commun 11, 5146 (2020)."
46,FA0.95Pb0.95I2.85MA0.05Pb0.05Br0.15,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,R2R,tBuOH/EA,DMF/DMSO,120.0,30.0,22,1.02,0.744,16.7,"Kim, Y.Y., Yang, TY., Suhonen, R. et al. Roll-to-roll gravure-printed flexible perovskite solar cells using eco-friendly antisolvent bathing with wide processing window. Nat Commun 11, 5146 (2020)."
47,FA0.95Pb0.95I2.85MA0.05Pb0.05Br0.15,,ITO,bl-TiO2,mp-TiO2,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,120.0,30.0,24.8,1.17,0.81,23.5,"Kim, Y.Y., Yang, TY., Suhonen, R. et al. Roll-to-roll gravure-printed flexible perovskite solar cells using eco-friendly antisolvent bathing with wide processing window. Nat Commun 11, 5146 (2020)."
48,FA0.95Pb0.95I2.85MA0.05Pb0.05Br0.15,,ITO,SnO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,120.0,30.0,23.4,1.13,0.837,22.2,"Kim, Y.Y., Yang, TY., Suhonen, R. et al. Roll-to-roll gravure-printed flexible perovskite solar cells using eco-friendly antisolvent bathing with wide processing window. Nat Commun 11, 5146 (2020)."
49,MA0.6FA0.38Cs0.02PbI2.975Br0.025 ,,ITO,PEDOT:PSS,,,PCBM,,PEIE/Ag,two-step,slot-die coated,,,130.0,,21.35,1.0,0.6865,14.66,"J.-E. Kim, S.-S. Kim, C. Zuo, M. Gao, D. Vak, D.-Y. Kim, Humidity-Tolerant Roll-to-Roll Fabrication of Perovskite Solar Cells via Polymer-Additive-Assisted Hot Slot Die Deposition. Adv. Funct. Mater. 2019, 29, 1809194."
50,MA0.6FA0.38Cs0.02PbI2.975Br0.025 ,,ITO,PEDOT:PSS,,,PCBM,,PEIE/Ag,two-step,R2R,,,130.0,,21.75,0.98,0.5476,11.67,"J.-E. Kim, S.-S. Kim, C. Zuo, M. Gao, D. Vak, D.-Y. Kim, Humidity-Tolerant Roll-to-Roll Fabrication of Perovskite Solar Cells via Polymer-Additive-Assisted Hot Slot Die Deposition. Adv. Funct. Mater. 2019, 29, 1809194."
51,MA0.6FA0.38Cs0.02PbI2.975Br0.026 ,,ITO,PEDOT:PSS,,,PCBM,,Ca/Al,two-step,R3R,,,130.0,,17.59,0.94,0.7418,12.26,"J.-E. Kim, S.-S. Kim, C. Zuo, M. Gao, D. Vak, D.-Y. Kim, Humidity-Tolerant Roll-to-Roll Fabrication of Perovskite Solar Cells via Polymer-Additive-Assisted Hot Slot Die Deposition. Adv. Funct. Mater. 2019, 29, 1809194."
52,CsI0.05FA0.95PbI3,1.478,FTO,TiO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,25.45,1.09,0.727,20.1,"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95."
53,CsI0.05FA0.9025MA0.0475PbI2.85Br0.15,1.503,FTO,TiO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.69,1.126,0.768,21.4,"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95."
54,CsI0.05FA0.855MA0.095PbI2.7Br0.3,1.537,FTO,TiO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.13,1.131,0.768,21.0,"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95."
55,CsI0.05FA0.8075MA0.1425PbI2.55Br0.45,1.546,FTO,TiO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.61,1.135,0.777,20.7,"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95."
56,CsI0.05FA0.76MA0.19PbI2.4Br0.6,1.572,FTO,TiO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.29,1.156,0.765,20.6,"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95."
57,CsI0.05FA0.7885MA0.1615PbI2.49Br0.51,,FTO,TiO2,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.6,1.129,0.767,20.6,"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95."
58,Cs0.1FA0.76MA0.14PbI2.58Br0.42,,FTO,TiO3,,,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.18,1.07,0.783,19.01,"ABDULRAHIM S M, AHMAD Z, MEHMOOD M Q, et al. Effect of illumination and applied potential on the electrochemical impedance spectra in triple cation (FA/MA/Cs) 3D and 2D/3D perovskite solar cells [J]. Journal of Electroanalytical Chemistry, 2021, 902: 115800."
59,Cs0.33FA0.33MA0.33PbI2.4Br0.6,,FTO,c-TiO2,mp-TiO2,40,spiro-MeOTAD,50.0,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.43,1.05,0.48,9.3,"E. M. Tennyson, M. Abdi-Jalebi, K. Ji, J. L. Garrett, C. Gong, A. A. Pawlicki, O. S. Ovchinnikova, J. N. Munday, S. D. Stranks, M. S. Leite, Correlated Electrical and Chemical Nanoscale Properties in Potassium-Passivated, Triple-Cation Perovskite Solar Cells. Adv. Mater. Interfaces 2020, 7, 2000515."
60,MA0.17FA0.83PbI2.49Br0.51,,FTO,c-TiO3,mp-TiO3,30,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.1,1.071,0.71,16.8,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
61,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,,FTO,c-TiO3,mp-TiO3,30,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.7,1.109,0.74,18.6,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
62,Cs0.1MA0.153FA0.747PbI2.49Br0.51,,FTO,c-TiO3,mp-TiO3,30,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22,1.13,0.77,19.1,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
63,Cs0.15MA0.1445FA0.7055PbI2.49Br0.51,,FTO,c-TiO3,mp-TiO3,30,spiro-MeOTAD,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,19.4,1.088,0.69,14.6,"SALIBA M, MATSUI T, SEO J-Y, et al. Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency [J]. Energy & Environmental Science, 2016, 9(6): 1989-97."
