Article,Cs,FA,MA,Pb,I,Br,Perovskite,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.15,0.6375,0.2125,1.0,2.28,0.72,Cs0.15MA0.2125FA0.6375PbI2.28Br0.72,0,1.71,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.7,1.09,0.724,14.9
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.25,0.5625,0.1875,1.0,2.4,0.6,Cs0.25MA0.1875FA0.5625PbI2.4Br0.6,0,1.7,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.8,1.12,0.705,14.1
,0.15,0.7055,0.1445,1.0,2.1,0.9,Cs0.15FA0.7055MA0.1445PbI2.1Br0.9,1,1.7,,,,,,,,,,,,,,18.7,1.19,0.802,18.6
,0.3,0.6,0.1,1.0,2.4,0.6,Cs0.3FA0.6MA0.1PbI2.4Br0.6,1,1.7,,,,,,,,,,,,,,19.6,1.2,0.82,19.2
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.05,0.7125,0.2375,1.0,2.28,0.72,Cs0.05MA0.2375FA0.7125PbI2.28Br0.72,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.5,1.11,0.733,14.3
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.15,0.6375,0.2125,1.0,2.4,0.6,Cs0.15MA0.2125FA0.6375PbI2.4Br0.6,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,19.9,1.1,0.737,16.1
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.25,0.5625,0.1875,1.0,2.49,0.51,Cs0.25MA0.1875FA0.5625PbI2.49Br0.51,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.1,1.13,0.674,13.8
,0.15,0.65,0.2,1.0,2.4,0.6,Cs0.15FA0.65MA0.2PbI2.4Br0.6,1,1.68,,,,,,,,,,,,,,21.2,1.17,0.798,19.8
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.05,0.7125,0.2375,1.0,2.4,0.6,Cs0.05MA0.2375FA0.7125PbI2.4Br0.6,0,1.67,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.8,1.11,0.714,14.9
,0.2134,0.7566,0.03,1.0,2.473,0.4365,Cs0.2134FA0.7566Pb0.97I2.473Br0.4365MA0.03Pb0.03Cl0.09,1,1.67,,,,,,,,,,,,,,20.2,1.22,0.832,20.4
,0.05,0.8,0.15,1.0,2.4,0.6,Cs0.05FA0.8MA0.15PbI2.4Br0.6,1,1.654,ITO,TiO2,,,CuSCN,,Cu,,,,,,,16.927,1.14,0.727,14.024
"LIU S, HUANG W, LIAO P, et al. 17% efficient printable mesoscopic PIN metal oxide framework perovskite solar cells using cesium-containing triple cation perovskite [J]. Journal of Materials Chemistry A, 2017, 5(44): 22952-8.",0.2,0.32,0.48,1.0,2.8,0.2,Cs0.2FA0.32MA0.48PbI2.8Br0.2 ,1,1.65,FTO,TiO2,Al2O3,,NiO,,C,two-step,spin,,DMF/DMSO,100.0,30.0,12.61,0.889,0.6807,7.64
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.05,0.7125,0.2375,1.0,2.49,0.51,Cs0.05MA0.2375FA0.7125PbI2.49Br0.51,0,1.65,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,19.5,1.07,0.704,14.6
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.15,0.6375,0.2125,1.0,2.49,0.51,Cs0.15MA0.2125FA0.6375PbI2.49Br0.51,0,1.65,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,20.3,1.09,0.757,16.8
,0.05,0.8,0.15,1.0,2.25,0.75,Cs0.05MA0.15FA0.8PbI2.25Br0.75,1,1.65,,,,,,,,,,,,,,21.2,1.22,0.76,20.8
,0.05,0.8075,0.1425,1.0,2.572,0.4275,Cs0.05Pb0.05I0.15FA0.8075MA0.1425Pb0.95I2.422Br0.4275,1,1.65,,,,,,,,,,,,,,1.21,1.59,22.59,0.81
"LIU S, HUANG W, LIAO P, et al. 17% efficient printable mesoscopic PIN metal oxide framework perovskite solar cells using cesium-containing triple cation perovskite [J]. Journal of Materials Chemistry A, 2017, 5(44): 22952-8.",0.1,0.36,0.54,1.0,2.8,0.2,Cs0.1FA0.36MA0.54PbI2.8Br0.2 ,1,1.647,FTO,TiO2,Al2O3,,NiO,,C,two-step,spin,,DMF/DMSO,100.0,30.0,17.63,0.903,0.6637,10.57
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.25,0.5625,0.1875,1.0,2.7,0.3,Cs0.25MA0.1875FA0.5625PbI2.7Br0.3,0,1.64,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,19.9,1.07,0.805,17.1
,0.05,0.8,0.15,1.0,2.52,0.48,Cs0.05FA0.8MA0.15PbI2.52Br0.48,1,,ITO,TiO2,,,CuSCN,,Cu,,,,,,,18.503,1.1,0.739,15.054
"LIU S, HUANG W, LIAO P, et al. 17% efficient printable mesoscopic PIN metal oxide framework perovskite solar cells using cesium-containing triple cation perovskite [J]. Journal of Materials Chemistry A, 2017, 5(44): 22952-8.",0.05,0.38,0.57,1.0,2.8,0.2,Cs0.05FA0.38MA0.57PbI2.8Br0.2 ,1,1.63,FTO,TiO2,Al2O3,,NiO,,C,two-step,spin,,DMF/DMSO,100.0,30.0,23.4,1.008,0.7214,17.02
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.15,0.6375,0.2125,1.0,2.7,0.3,Cs0.15MA0.2125FA0.6375PbI2.7Br0.3,0,1.63,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,21.2,1.06,0.722,16.2
,0.05,0.7885,0.1615,1.0,2.46,0.54,Cs0.05FA0.7885MA0.1615PbI2.46Br0.54,1,1.63,,,,,,,,,,,,,,21.6,1.1,0.779,18.4
,0.05,0.8,0.15,1.0,2.55,0.45,Cs0.05MA0.15FA0.80PbI2.55Br0.45,1,1.63,,,,,,,,,,,,,,22.8,1.24,0.78,22.1
"P. K. Deendyal, S. Dhakla, H. Singh, A. Taya, S. Kumar, M. K. Kashyap, ChemistrySelect 2023, 8, e202302252.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,1.62,ITO,SnO2,,,PTAA,0.017,Ag,two-step,spin,ANI ,DMF:DMSO:NMP,100.0,40.0,20.33,1.01,0.8073,16.5
,0.13,0.77,0.0,1.0,2.46,0.54,Cs0.13FA0.77PbI2.46Br0.54,1,1.62,,,,,,,,,,,,,,22.3,1.25,0.8,22.3
"LIU S, HUANG W, LIAO P, et al. 17% efficient printable mesoscopic PIN metal oxide framework perovskite solar cells using cesium-containing triple cation perovskite [J]. Journal of Materials Chemistry A, 2017, 5(44): 22952-8.",0.0,0.4,0.6,1.0,2.8,0.2,FA0.4MA0.6PbI2.8Br0.2 ,1,1.617,FTO,TiO2,Al2O3,,NiO,,C,two-step,spin,,DMF/DMSO,100.0,30.0,22.31,0.953,0.7,14.88
"Jaiswal, N., Singh, V.P., Kumari, D. and Pandey, S.K. (2024), Performance Analysis of Triple-Cation Mixed-Halide Bifacial Perovskite Solar Cell with 17% Rear and 25% Front Efficiency. Energy Technol. 2300639.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1,1.6,FTO,TiO2,,0.04,CuSbS2,0.1,Pt,two-step,spin,CB,DMF:DMSO:NMP,100.0,60.0,22.68,1.14,0.76,19.61
"Alanazi, T.I.; Eid, O.I. Simulation of Triple-Cation Perovskite Solar Cells: Key Design Factors for Efficiency Promotion. Energies 2023, 16, 2717",0.05,0.79,0.15,1.0,2.45,0.55,Cs0.05FA0.79MA0.15PbI2.45Br0.55,1,1.6,ITO,SnO2,,20.0,spiro,200.0,Au,,,,,,,22.297,1.0755,0.7475,17.92
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.05,0.7125,0.2375,1.0,2.7,0.3,Cs0.05MA0.2375FA0.7125PbI2.7Br0.3,0,1.6,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,20.8,1.08,0.767,17.3
,0.0,0.0,1.0,1.0,3.0,0.0,MAPbI3,1,1.6,,,,,,,,,,,,,,20.7,1.26,0.8,20.7
"Yang G, Zhang H, Li, S, et al. Enhanced efficiency and stability of triple-cation perovskite solar cells with CsPbIxBr3 − x QDs “surface patches”. SmartMat. 2022; 3: 513-521.",0.05,0.8,0.15,1.0,2.7,0.3,Cs0.05FA0.8MA0.15PbI2.7Br0.3,1,1.59,ITO,NiOx,,,BCP,,Ag,two-step,spin,CB,DMF/DMSO/GBL,115.0,20.0,23.12,1.16,0.8237,22.09
"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95.",0.05,0.76,0.19,1.0,2.45,0.6,Cs0.05I0.05FA0.76MA0.19PbI2.4Br0.6,1,1.572,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.29,1.156,0.765,20.6
"MALI S S, PATIL J V, PARK D W, et al. Intrinsic and extrinsic stability of triple-cation perovskite solar cells through synergistic influence of organic additive [J]. Cell Reports Physical Science, 2022, 3(6): 100906.",0.175,0.75,0.075,1.0,2.64,0.36,Cs0.175FA0.750MA0.075PbI2.64Br0.36,1,1.57,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,20.0,21.88,1.124,0.75,18.45
,0.05,0.81,0.14,1.0,2.55,0.45,Cs0.05FA0.81MA0.14PbI2.55Br0.45,1,1.57,,,,,,,,,,,,,,22.16,1.23,0.78,21.1
,0.05,0.8,0.15,1.0,2.85,0.15,Cs0.05FA0.8MA0.15PbI2.85Br0.15,1,1.5685,ITO,TiO2,,,CuSCN,,Cu,,,,,,,18.875,1.02,0.769,14.812
"DU L, PENG C, CHEN Q, et al. α-Phase intermediate for efficient and stable narrow bandgap triple cation perovskite solar cells [J]. Journal of Alloys and Compounds, 2022, 910: 164722.",0.05,0.86,0.09,1.0,2.91,0.09,Cs0.05FA0.86MA0.09PbI2.91Br0.09,1,1.56,FTO,SnO2,,,spiro,,Ag,two-step,spin,CB,DMF,100.0,60.0,21,0.987,0.453,9.4
"DU L, PENG C, CHEN Q, et al. α-Phase intermediate for efficient and stable narrow bandgap triple cation perovskite solar cells [J]. Journal of Alloys and Compounds, 2022, 910: 164722.",0.05,0.86,0.09,1.0,2.91,0.09,Cs0.05FA0.86MA0.09PbI2.91Br0.09,1,1.56,FTO,SnO2,,,spiro,,Ag,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.49,1.041,0.748,18.3
"DU L, PENG C, CHEN Q, et al. α-Phase intermediate for efficient and stable narrow bandgap triple cation perovskite solar cells [J]. Journal of Alloys and Compounds, 2022, 910: 164722.",0.05,0.86,0.09,1.0,2.91,0.09,Cs0.05FA0.86MA0.09PbI2.91Br0.09,1,1.56,FTO,SnO2,,,spiro,,Ag,two-step,spin,CB,DMF/DMSO/MACl,100.0,60.0,23.5,1.08,0.776,19.7
"Yu Miyazawa, Gyu Min Kim, Ayumi Ishii, Masashi Ikegami, Tsutomu Miyasaka, Yudai Suzuki, Tomoyuki Yamamoto, Takeshi Ohshima, Shusaku Kanaya, Hiroyuki Toyota, and Kazuyuki Hirose
The Journal of Physical Chemistry C 2021 125 (24), 13131-13137",0.05,0.7885,0.1615,1.0,2.79,0.21,Cs0.05MA0.1615FA0.7885PbI2.79Br0.21,1,1.55,Quartz/ITO,SnO2,,,P3HT,,BCP,two-step,spin,CB,DMF/DMSO,150.0,15.0,19.7,0.9,0.57,10.7
,0.05,0.8,0.15,1.0,2.85,0.15,Cs0.05MA0.15FA0.80PbI2.85Br0.15,1,1.55,,,,,,,,,,,,,,24.1,1.18,0.83,23.7
"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95.",0.05,0.8075,0.1425,1.0,2.6,0.45,Cs0.05I0.05FA0.8075MA0.1425PbI2.55Br0.45,1,1.546,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.61,1.135,0.777,20.7
"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95.",0.05,0.855,0.095,1.0,2.75,0.3,Cs0.05I0.05FA0.855MA0.095PbI2.7Br0.3,1,1.537,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.13,1.131,0.768,21.0
,0.03,0.9409,0.0291,1.0,2.91,0.09,Cs0.03FA0.9409MA0.0291PbI2.91Br0.09,1,1.53,,,,,,,,,,,,,,24.6,1.21,0.8,23.8
"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95.",0.05,0.9025,0.0475,1.0,2.9,0.15,Cs0.05I0.05FA0.9025MA0.0475PbI2.85Br0.15,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.69,1.126,0.768,21.4
"BAUMELER T, ARORA N, HINDERHOFER A, et al. Minimizing the Trade-Off between Photocurrent and Photovoltage in Triple-Cation Mixed-Halide Perovskite Solar Cells [J]. The Journal of Physical Chemistry Letters, 2020, 11(23): 10188-95.",0.05,0.95,0.0,1.0,3.05,0.0,CsI0.05FA0.95PbI3,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,25.45,1.09,0.727,20.1
"P. Dörflinger, Y. Ding, V. Schmid, M. Armer, R. C. Turnell-Ritson, B. Ding, P. J. Dyson, M. K. Nazeeruddin, V. Dyakonov, Influence of an Organic Salt-Based Stabilizing Additive on Charge Carrier Dynamics in Triple Cation Perovskite Solar Cells. Adv. Sci. 2023, 10, 2304502. https://doi.org/10.1002/advs.202304502",0.05,0.9,0.05,1.0,3.0,0.0,Cs0.05MA0.05FA0.9PbI3,1,,FTO,c-TiO2,mp-TiO2,,spiro,0.07,Au,two-step,spin,hlorobenzene,DMF/DMSO,100.0,60.0,25.32,1.12,0.837,23.76
"P. Dörflinger, Y. Ding, V. Schmid, M. Armer, R. C. Turnell-Ritson, B. Ding, P. J. Dyson, M. K. Nazeeruddin, V. Dyakonov, Influence of an Organic Salt-Based Stabilizing Additive on Charge Carrier Dynamics in Triple Cation Perovskite Solar Cells. Adv. Sci. 2023, 10, 2304502. https://doi.org/10.1002/advs.202304502",0.05,0.9,0.05,1.0,3.0,0.0,Cs0.05MA0.05FA0.9PbI3,1,,FTO,c-TiO2,mp-TiO2,,spiro,0.07,Au,two-step,spin,hlorobenzene,DMF/DMSO/DmmimCl,100.0,60.0,25.26,1.15,0.84,24.46
"Zakaria, Y., Aïssa, B., Fix, T. et al. Moderate temperature deposition of RF magnetron sputtered SnO2-based electron transporting layer for triple cation perovskite solar cells. Sci Rep 13, 9100 (2023). https://doi.org/10.1038/s41598-023-35651-1",0.05,0.85,0.1,1.0,2.55,0.45,Cs0.05MA0.10FA0.85PbI2.55Br0.45,1,,FTO,SnO2,,0.04,spiro,,Cu,one-step,spin,CB,DMF/DMSO,100.0,60.0,22.01,1.045,0.743,17.1
"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,0.0,20.17,1.12,0.6634,15.03
"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,2.0,21.2,1.12,0.6478,15.37
"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,5.0,20.01,1.14,0.7694,17.48
"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,10.0,21.32,1.14,0.7622,18.57
"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,15.0,20.91,1.14,0.7513,17.97
"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,20.0,19.78,1.14,0.7534,17.04
"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,10.0,19.96,1.13,0.6966,15.73
"Tien, CH., Lai, HY. & Chen, LC. Methylammonium halide salt interfacial modification of perovskite quantum dots/triple-cation perovskites enable efficient solar cells. Sci Rep 13, 5387 (2023).",0.05,0.81,0.14,1.0,2.86,0.14,Cs0.05FA0.81MA0.14PbBr0.14I2.86,0,,FTO,C,BCP,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,120.0,10.0,23.1,0.93,0.769,16.2
"CAO Y, LIU H, GAO F, et al. Interface optimization and growth control for high efficiency wide bandgap perovskite solar cells [J]. Surfaces and Interfaces, 2023, 37: 102680.",0.16,0.8,0.04,1.0,1.5,1.5,FA0.8Cs0.16MA0.04PbI1.5Br1.5,0,,FTO,PCBM,BCP,,PTAA,,Ag,one-step,spin,CB,DMF/DMSO,100.0,15.0,17.64,1.22,0.73,15.7
"MALOUANGOU M D, ZHANG Y, YANG Y, et al. Enhancing the efficiency and stability of 2D-3D perovskite solar cells with embedded interface passivation with diammonium cation spacer [J]. Solar Energy Materials and Solar Cells, 2023, 251: 112135.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,TiO2,,,spiro,,Ag,two-step,spin,CB,DMF/DMSO,100.0,5.0,23.78,1.145,0.7789,21.15
"ZANETTA A, BULFARO I, FAINI F, et al. Enhancing charge extraction in inverted perovskite solar cells contacts via ultrathin graphene:fullerene composite interlayers [J]. Journal of Materials Chemistry A, 2023, 11(24): 12866-75.",0.05,0.79,0.16,1.0,2.7,0.3,Cs0.05FA0.79MA0.16PbI2.7Br0.3,0,,ITO,PCBM,BCP,,Meo2PACz SAM,,Ag,,,,,,,22.4,1.098,0.85,20.8
"LIU M, DAHLSTRöM S, AHLäNG C, et al. Beyond hydrophobicity: how F4-TCNQ doping of the hole transport material improves stability of mesoporous triple-cation perovskite solar cells [J]. Journal of Materials Chemistry A, 2022, 10(21): 11721-31.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,TiO2,,,spiro:tBP : LiTFSI : FK209,,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,22.3,1.14,0.705,18.3
"LIU M, DAHLSTRöM S, AHLäNG C, et al. Beyond hydrophobicity: how F4-TCNQ doping of the hole transport material improves stability of mesoporous triple-cation perovskite solar cells [J]. Journal of Materials Chemistry A, 2022, 10(21): 11721-31.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,TiO2,,,spiro:tBP : LiTFSI,,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,21.9,1.09,0.681,16.5
"LIU M, DAHLSTRöM S, AHLäNG C, et al. Beyond hydrophobicity: how F4-TCNQ doping of the hole transport material improves stability of mesoporous triple-cation perovskite solar cells [J]. Journal of Materials Chemistry A, 2022, 10(21): 11721-31.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,TiO2,,,spiro:F4-TCNQ,,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,19.5,1.05,0.634,13.3
